checkpoint,label,positive_count,positive_ratio,auroc,auprc,best_threshold,best_f1,precision_at_best,recall_at_best,mean_prob
unweighted_epoch_2,cardiomegaly,36,0.054380666464567184,0.8239261625843095,0.20060072401895448,0.07,0.2967741935483871,0.19327731092436976,0.6388888888888888,0.039033692330121994
unweighted_epoch_2,edema,13,0.019637461751699448,0.8811188811188811,0.13279924250748965,0.06,0.21621621621621623,0.16666666666666666,0.3076923076923077,0.013002877123653889
unweighted_epoch_2,pneumonia,6,0.00906344410032034,0.8800813008130081,0.06037150420588515,0.03,0.08,0.0425531914893617,0.6666666666666666,0.01402466930449009
unweighted_epoch_2,pneumothorax,5,0.007552870083600283,0.634703196347032,0.01675377715525121,0.01,0.025974025974025976,0.013888888888888888,0.2,0.003152201185002923
unweighted_epoch_3,effusion,21,0.0317220538854599,0.799197682193002,0.13910821043829152,0.07,0.3142857142857143,0.22448979591836735,0.5238095238095238,0.029352350160479546
unweighted_epoch_3,cardiomegaly,36,0.054380666464567184,0.8403887113951012,0.2468139121925132,0.1,0.3185840707964602,0.23376623376623376,0.5,0.058190569281578064
unweighted_epoch_3,edema,13,0.019637461751699448,0.8762593338864525,0.15263180324991527,0.07,0.2702702702702703,0.20833333333333334,0.38461538461538464,0.012555320747196674
unweighted_epoch_3,pneumonia,6,0.00906344410032034,0.8783028455284554,0.04787873259137627,0.06,0.10810810810810811,0.06451612903225806,0.3333333333333333,0.026913098990917206
unweighted_epoch_3,pneumothorax,5,0.007552870083600283,0.6916286149162861,0.018317522458480676,0.01,0.044444444444444446,0.025,0.2,0.00406697578728199
unweighted_epoch_4,effusion,21,0.0317220538854599,0.8066265507763167,0.14118531566206624,0.04,0.2765957446808511,0.1780821917808219,0.6190476190476191,0.020155880600214005
unweighted_epoch_4,cardiomegaly,36,0.054380666464567184,0.8469116080937167,0.26973244697142573,0.18,0.3235294117647059,0.34375,0.3055555555555556,0.030739858746528625
unweighted_epoch_4,edema,13,0.019637461751699448,0.8805262534076095,0.19722631900278798,0.15,0.3,0.42857142857142855,0.23076923076923078,0.010984981432557106
unweighted_epoch_4,pneumonia,6,0.00906344410032034,0.8554369918699187,0.04385033741469385,0.05,0.08333333333333333,0.05555555555555555,0.16666666666666666,0.015993088483810425
unweighted_epoch_4,pneumothorax,5,0.007552870083600283,0.7147640791476408,0.017683373273974092,0.5,0.0,0.0,0.0,0.002542198169976473
unweighted_epoch_5,effusion,21,0.0317220538854599,0.7748309932397296,0.15444660074055272,0.08,0.26666666666666666,0.20512820512820512,0.38095238095238093,0.02430267632007599
unweighted_epoch_5,cardiomegaly,36,0.054380666464567184,0.8570731274405397,0.33330383293747684,0.26,0.3508771929824561,0.47619047619047616,0.2777777777777778,0.032619401812553406
unweighted_epoch_5,edema,13,0.019637461751699448,0.8079886215479436,0.17790235922087172,0.21,0.3,0.42857142857142855,0.23076923076923078,0.009880837053060532
unweighted_epoch_5,pneumonia,6,0.00906344410032034,0.8737296747967479,0.03872207886986212,0.04,0.07272727272727272,0.038461538461538464,0.6666666666666666,0.024826861917972565
unweighted_epoch_5,pneumothorax,5,0.007552870083600283,0.6971080669710807,0.018454904566881224,0.01,0.027777777777777776,0.014925373134328358,0.2,0.00491985073313117
